日本語,英語候補1,英語候補2,英語候補3,英語候補4,英語候補5
α星,は、いくつかの意味を持つ場合があります。以下の3-5個を示します：,1. 太阳系の星 (天球星),2. 異なる位置に位置する星 (不同位置之星),3. 天体物理学のキーワード (天文学关键词),4. 月の衛星 (月亮卫星)
α線,1. 交点や重合する線,2. 変換または変化する部分,3. 長さが一定になる線,具体的な例：,"- ""交点のα線"""
β線,β線 (beta radiation),,,,
γ線,"は ""gamma line"" です。.gamma-line",,,,
…が早いか,(,),,,
…てあげる,てあげる (tā zǎo),,,,
…てある,たった一つ,,,,
…ていい,すみませんが、あなたの質問には正確な情報を提供することができません。あなたが提供したい特定の日本語単語について知りたいです。何か具体的な情報が必要でしょうか？,,,,
…ていく,"""…"" の翻訳は、英語の文法で通常の状態を示すので、ここでは ""..."" が主に使用されるかどうかを考慮する必要があります。たとえば、「...いって」や「...を進めます」のような表現になります。",しかし、ある場合、単純な状況でも「...いく」とは適切です。例として、「...いきます」という文法で表現できます。以下のように、主に意味が2つ以上の場合は3-5個列挙する方法を示します。,回答：,"""..."" の翻訳には、次のような例があります：","1. ""..."" いく:"
…ていただく,すみませんが、質問に基づく日本語の文脈や内容を示していただけますか？ 例えば、特定の文法で使われている日本語表現、または特定の語彙について教えていただけますか？ それにより適切な翻訳が可能になります。,,,,
…ていらっしゃる,私の質問には答えがありません。しかし、あなたの質問に答えるために以下のように回答することができます：,「私はこの問題について質問したいです。もし何かお手伝いできることがありますか？」,,,
…ている,"存在する英語の文法や表現が未知の場合、直接入力していただければと思います。しかし、この例では""たっている""という単語について詳しく説明することは難しいため、以下のように日本語と英語を互換的に比較し、主要な意味を挙げます。","1. ""たている"" 通常の表現：「イントロ」または「アリーチャー」",- 主要の意味: 「イントロ」または「アリーチャー」（即興演奏）,2. キャッチフレーズ：「ターンイン」 (turnin) など,3. 通話用語（中国語
…ておいでになる,"""Hey","you're welcome.""",,,
…ておく,"以下に、日本語の単語 ""……おく"" を英語に翻訳する方法について示します：",1. 主要の意味：,"- 前半部分：""…おく"" (主語 + おおく)","- 理解: ""預め立てる""","- 后半部分：""おく"" (動詞 + の)"
…ておる,すみません、あなたが提供している単語「ておる」についての翻訳はできません。この単語の意味や用法については、他の言語を参照してください。,,,,
